Sport,NOC,Total_Medals,Rank,Leader_Medals,Gap_to_Leader,Competitive_Pressure_Index,Closeness_Score,Strategic_Category
Hockey,IND,2,5.0,11,9,0.23809523809523808,0.18181818181818182,Competitive
Shooting,IND,7,9.0,49,42,0.1712538226299694,0.14285714285714285,Competitive
Wrestling,IND,7,13.0,50,43,0.11713665943600868,0.14,Competitive
Badminton,IND,3,7.0,37,34,0.14423076923076922,0.08108108108108109,Long-Term
Boxing,IND,3,16.0,39,36,0.16569767441860464,0.07692307692307693,Long-Term
Weightlifting,IND,2,13.0,43,41,0.1750841750841751,0.046511627906976744,Long-Term
Athletics,IND,2,26.0,184,182,0.08730964467005076,0.010869565217391304,Long-Term
