Year,NOC,Total,is_host,host_boost,host_boost_log,career_avg,delta_last,gdp_pc,gdp_pc_log,efficiency
1988,ANT,0,0,0.0,0.0,0.0,0.0,,,
1992,ANT,0,0,0.0,0.0,0.0,0.0,,,
1996,ANT,0,0,0.0,0.0,0.0,0.0,,,
2000,ANT,0,0,0.0,0.0,0.0,0.0,,,
2004,ANT,0,0,0.0,0.0,0.0,0.0,,,
2008,ANT,0,0,0.0,0.0,0.0,0.0,,,
2012,ANT,0,0,0.0,0.0,0.0,0.0,,,
2016,ANT,0,0,0.0,0.0,0.0,0.0,,,
1908,ANZ,5,0,0.0,0.0,0.0,0.0,,,
1912,ANZ,7,0,0.0,0.0,5.0,2.0,,,
1900,ARG,0,0,0.0,0.0,6.0,0.0,,,
1908,ARG,0,0,0.0,0.0,0.0,0.0,,,
1920,ARG,0,0,0.0,0.0,0.0,0.0,,,
1924,ARG,6,0,0.0,0.0,0.0,6.0,,,
1928,ARG,7,0,0.0,0.0,1.5,1.0,,,
1932,ARG,4,0,0.0,0.0,2.6,-3.0,,,
1936,ARG,7,0,0.0,0.0,2.8333333333333335,3.0,,,
1948,ARG,7,0,0.0,0.0,3.4285714285714284,0.0,,,
1952,ARG,5,0,0.0,0.0,3.875,-2.0,,,
1956,ARG,2,0,0.0,0.0,4.0,-3.0,,,
1960,ARG,2,0,0.0,0.0,3.8,0.0,778.251706763404,6.657050002397892,0.3004333750354276
1964,ARG,1,0,0.0,0.0,3.6363636363636362,-1.0,1176.20086190313,7.070044914811788,0.14144181713824672
1968,ARG,2,0,0.0,0.0,3.4166666666666665,1.0,1141.95211617341,7.040494459541264,0.28407095715977787
1972,ARG,1,0,0.0,0.0,3.3076923076923075,-1.0,1409.37097316211,7.250898765507084,0.13791393761516213
1976,ARG,0,0,0.0,0.0,3.142857142857143,-1.0,1946.91990388248,7.574003866304366,0.0
1980,ARG,0,0,0.0,0.0,2.933333333333333,0.0,2747.5022751674,7.918447514363839,0.0
1984,ARG,0,0,0.0,0.0,2.75,0.0,3915.03492645691,8.272579529574614,0.0
1988,ARG,2,0,0.0,0.0,2.588235294117647,2.0,3992.70330179156,8.292223799717364,0.24118982414200746
