Sport,Total_Medals,Leader_Medals,Gap_to_Leader,Closeness_Score,Competitive_Pressure_Index
Hockey,2,11,9,0.18181818181818182,0.23809523809523808
Shooting,7,49,42,0.14285714285714285,0.1712538226299694
Wrestling,7,50,43,0.14,0.11713665943600868
Badminton,3,37,34,0.08108108108108109,0.14423076923076922
Boxing,3,39,36,0.07692307692307693,0.16569767441860464
