Name,Sex,NOC,Country,Sport,Event,Medal,Year
KIM Je Deok,Male,KOR,South Korea,Archery,Mixed Team,Gold Medal,2020
AN San,Female,KOR,South Korea,Archery,Mixed Team,Gold Medal,2020
SCHLOESSER Gabriela,Female,NED,Netherlands,Archery,Mixed Team,Silver Medal,2020
WIJLER Steve,Male,NED,Netherlands,Archery,Mixed Team,Silver Medal,2020
ALVAREZ Luis,Male,MEX,Mexico,Archery,Mixed Team,Bronze Medal,2020
VALENCIA Alejandra,Female,MEX,Mexico,Archery,Mixed Team,Bronze Medal,2020
CARAPAZ Richard,Male,ECU,Ecuador,Cycling Road,Men's Road Race,Gold Medal,2020
van AERT Wout,Male,BEL,Belgium,Cycling Road,Men's Road Race,Silver Medal,2020
POGACAR Tadej,Male,SLO,Slovenia,Cycling Road,Men's Road Race,Bronze Medal,2020
SZILAGYI Aron,Male,HUN,Hungary,Fencing,Men's Sabre Individual,Gold Medal,2020
SAMELE Luigi,Male,ITA,Italy,Fencing,Men's Sabre Individual,Silver Medal,2020
KIM Junghwan,Male,KOR,South Korea,Fencing,Men's Sabre Individual,Bronze Medal,2020
SUN Yiwen,Female,HKG,China,Fencing,Women's &Eacute;p&eacute;e Individual,Gold Medal,2020
POPESCU Ana Maria,Female,ROU,Romania,Fencing,Women's &Eacute;p&eacute;e Individual,Silver Medal,2020
LEHIS Katrina,Female,EST,Estonia,Fencing,Women's &Eacute;p&eacute;e Individual,Bronze Medal,2020
TAKATO Naohisa,Male,JPN,Japan,Judo,Men -60 kg,Gold Medal,2020
YANG Yung Wei,Male,TPE,Taiwan,Judo,Men -60 kg,Silver Medal,2020
MKHEIDZE Luka,Male,FRA,France,Judo,Men -60 kg,Bronze Medal,2020
SMETOV Yeldos,Male,KAZ,Kazakhstan,Judo,Men -60 kg,Bronze Medal,2020
KRASNIQI Distria,Female,KOS,Kosovo,Judo,Women -48 kg,Gold Medal,2020
TONAKI Funa,Female,JPN,Japan,Judo,Women -48 kg,Silver Medal,2020
BILODID Daria,Female,UKR,Ukraine,Judo,Women -48 kg,Bronze Medal,2020
MUNKHBAT Urantsetseg,Female,MGL,Mongolia,Judo,Women -48 kg,Bronze Medal,2020
FOROUGHI Javad,Male,IRI,Iran,Shooting,10m Air Pistol Men,Gold Medal,2020
MIKEC Damir,Male,YUG,Serbia,Shooting,10m Air Pistol Men,Silver Medal,2020
PANG Wei,Male,HKG,China,Shooting,10m Air Pistol Men,Bronze Medal,2020
YANG Qian,Female,HKG,China,Shooting,10m Air Rifle Women,Gold Medal,2020
GALASHINA Anastasiia,Female,URS,Russia,Shooting,10m Air Rifle Women,Silver Medal,2020
CHRISTEN Nina,Female,SUI,Switzerland,Shooting,10m Air Rifle Women,Bronze Medal,2020
DELL'AQUILA Vito,Male,ITA,Italy,Taekwondo,Men -58kg,Gold Medal,2020
JENDOUBI Mohamed Khalil,Male,TUN,Tunisia,Taekwondo,Men -58kg,Silver Medal,2020
ARTAMONOV Mikhail,Male,URS,Russia,Taekwondo,Men -58kg,Bronze Medal,2020
JANG Jun,Male,KOR,South Korea,Taekwondo,Men -58kg,Bronze Medal,2020
WONGPATTANAKIT Panipak,Female,THA,Thailand,Taekwondo,Women -49kg,Gold Medal,2020
CEREZO IGLESIAS Adriana,Female,ESP,Spain,Taekwondo,Women -49kg,Silver Medal,2020
BOGDANOVIC Tijana,Female,YUG,Serbia,Taekwondo,Women -49kg,Bronze Medal,2020
SEMBERG Abishag,Female,ISR,Israel,Taekwondo,Women -49kg,Bronze Medal,2020
HOU Zhihui,Female,HKG,China,Weightlifting,Women's 49kg,Gold Medal,2020
MIRABAI Chanu Saikhom,Female,IND,India,Weightlifting,Women's 49kg,Silver Medal,2020
AISAH Windy Cantika,Female,INA,Indonesia,Weightlifting,Women's 49kg,Bronze Medal,2020
KANG Chaeyoung,Female,KOR,South Korea,Archery,Women's Team,Gold Medal,2020
AN San,Female,KOR,South Korea,Archery,Women's Team,Gold Medal,2020
JANG Minhee,Female,KOR,South Korea,Archery,Women's Team,Gold Medal,2020
OSIPOVA Elena,Female,URS,Russia,Archery,Women's Team,Silver Medal,2020
PEROVA Ksenia,Female,URS,Russia,Archery,Women's Team,Silver Medal,2020
GOMBOEVA Svetlana,Female,URS,Russia,Archery,Women's Team,Silver Medal,2020
SCHWARZ Charline,Female,SAA,Germany,Archery,Women's Team,Bronze Medal,2020
UNRUH Lisa,Female,SAA,Germany,Archery,Women's Team,Bronze Medal,2020
KROPPEN Michelle,Female,SAA,Germany,Archery,Women's Team,Bronze Medal,2020
KIESENHOFER Anna,Female,AUT,Austria,Cycling Road,Women's Road Race,Gold Medal,2020
van VLEUTEN Annemiek,Female,NED,Netherlands,Cycling Road,Women's Road Race,Silver Medal,2020
LONGO BORGHINI Elisa,Female,ITA,Italy,Cycling Road,Women's Road Race,Bronze Medal,2020
WANG Han,Female,HKG,China,Diving,Women's Synchronised 3m Springboard,Gold Medal,2020
SHI Tingmao,Female,HKG,China,Diving,Women's Synchronised 3m Springboard,Gold Medal,2020
ABEL Jennifer,Female,NFL,Canada,Diving,Women's Synchronised 3m Springboard,Silver Medal,2020
CITRINI BEAULIEU Melissa,Female,NFL,Canada,Diving,Women's Synchronised 3m Springboard,Silver Medal,2020
HENTSCHEL Lena,Female,SAA,Germany,Diving,Women's Synchronised 3m Springboard,Bronze Medal,2020
PUNZEL Tina,Female,SAA,Germany,Diving,Women's Synchronised 3m Springboard,Bronze Medal,2020
CANNONE Romain,Male,FRA,France,Fencing,Men's &Eacute;p&eacute;e Individual,Gold Medal,2020
SIKLOSI Gergely,Male,HUN,Hungary,Fencing,Men's &Eacute;p&eacute;e Individual,Silver Medal,2020
REIZLIN Igor,Male,UKR,Ukraine,Fencing,Men's &Eacute;p&eacute;e Individual,Bronze Medal,2020
KIEFER Lee,Female,USA,USA,Fencing,Women's Foil Individual,Gold Medal,2020
DERIGLAZOVA Inna,Female,URS,Russia,Fencing,Women's Foil Individual,Silver Medal,2020
KOROBEYNIKOVA Larisa,Female,URS,Russia,Fencing,Women's Foil Individual,Bronze Medal,2020
ABE Hifumi,Male,JPN,Japan,Judo,Men -66 kg,Gold Medal,2020
MARGVELASHVILI Vazha,Male,GEO,Georgia,Judo,Men -66 kg,Silver Medal,2020
AN Baul,Male,KOR,South Korea,Judo,Men -66 kg,Bronze Medal,2020
CARGNIN Daniel,Male,BRA,Brazil,Judo,Men -66 kg,Bronze Medal,2020
ABE Uta,Female,JPN,Japan,Judo,Women -52 kg,Gold Medal,2020
BUCHARD Amandine,Female,FRA,France,Judo,Women -52 kg,Silver Medal,2020
GILES Chelsie,Female,GBR,UK,Judo,Women -52 kg,Bronze Medal,2020
GIUFFRIDA Odette,Female,ITA,Italy,Judo,Women -52 kg,Bronze Medal,2020
BATSARASHKINA Vitalina,Female,URS,Russia,Shooting,10m Air Pistol Women,Gold Medal,2020
KOSTADINOVA Antoaneta,Female,BUL,Bulgaria,Shooting,10m Air Pistol Women,Silver Medal,2020
JIANG Ranxin,Female,HKG,China,Shooting,10m Air Pistol Women,Bronze Medal,2020
SHANER William,Male,USA,USA,Shooting,10m Air Rifle Men,Gold Medal,2020
SHENG Lihao,Male,HKG,China,Shooting,10m Air Rifle Men,Silver Medal,2020
YANG Haoran,Male,HKG,China,Shooting,10m Air Rifle Men,Bronze Medal,2020
HORIGOME Yuto,Male,JPN,Japan,Skateboarding,Men's Street,Gold Medal,2020
HOEFLER Kelvin,Male,BRA,Brazil,Skateboarding,Men's Street,Silver Medal,2020
EATON Jagger,Male,USA,USA,Skateboarding,Men's Street,Bronze Medal,2020
HAFNAOUI Ahmed,Male,TUN,Tunisia,Swimming,Men's 400m Freestyle,Gold Medal,2020
McLOUGHLIN Jack,Male,AUS,Australia,Swimming,Men's 400m Freestyle,Silver Medal,2020
SMITH Kieran,Male,USA,USA,Swimming,Men's 400m Freestyle,Bronze Medal,2020
KALISZ Chase,Male,USA,USA,Swimming,Men's 400m Individual Medley,Gold Medal,2020
LITHERLAND Jay,Male,USA,USA,Swimming,Men's 400m Individual Medley,Silver Medal,2020
SMITH Brendon,Male,AUS,Australia,Swimming,Men's 400m Individual Medley,Bronze Medal,2020
CAMPBELL Cate,Female,AUS,Australia,Swimming,Women's 4 x 100m Freestyle Relay,Gold Medal,2020
CAMPBELL Bronte,Female,AUS,Australia,Swimming,Women's 4 x 100m Freestyle Relay,Gold Medal,2020
McKEON Emma,Female,AUS,Australia,Swimming,Women's 4 x 100m Freestyle Relay,Gold Medal,2020
WILSON Madison,Female,AUS,Australia,Swimming,Women's 4 x 100m Freestyle Relay,Gold Medal,2020
O'CALLAGHAN Mollie,Female,AUS,Australia,Swimming,Women's 4 x 100m Freestyle Relay,Gold Medal,2020
HARRIS Meg,Female,AUS,Australia,Swimming,Women's 4 x 100m Freestyle Relay,Gold Medal,2020
OLEKSIAK Penny,Female,NFL,Canada,Swimming,Women's 4 x 100m Freestyle Relay,Silver Medal,2020
SMITH Rebecca,Female,NFL,Canada,Swimming,Women's 4 x 100m Freestyle Relay,Silver Medal,2020
SANCHEZ Kayla,Female,NFL,Canada,Swimming,Women's 4 x 100m Freestyle Relay,Silver Medal,2020
MACNEIL Margaret,Female,NFL,Canada,Swimming,Women's 4 x 100m Freestyle Relay,Silver Medal,2020
RUCK Taylor,Female,NFL,Canada,Swimming,Women's 4 x 100m Freestyle Relay,Silver Medal,2020
BROWN Erika,Female,USA,USA,Swimming,Women's 4 x 100m Freestyle Relay,Bronze Medal,2020
WEITZEIL Abbey,Female,USA,USA,Swimming,Women's 4 x 100m Freestyle Relay,Bronze Medal,2020
de LOOF Catie,Female,USA,USA,Swimming,Women's 4 x 100m Freestyle Relay,Bronze Medal,2020
SCHMITT Allison,Female,USA,USA,Swimming,Women's 4 x 100m Freestyle Relay,Bronze Medal,2020
HINDS Natalie,Female,USA,USA,Swimming,Women's 4 x 100m Freestyle Relay,Bronze Medal,2020
SMOLIGA Olivia,Female,USA,USA,Swimming,Women's 4 x 100m Freestyle Relay,Bronze Medal,2020
MANUEL Simone,Female,USA,USA,Swimming,Women's 4 x 100m Freestyle Relay,Bronze Medal,2020
OHASHI Yui,Female,JPN,Japan,Swimming,Women's 400m Individual Medley,Gold Medal,2020
WEYANT Emma,Female,USA,USA,Swimming,Women's 400m Individual Medley,Silver Medal,2020
FLICKINGER Hali,Female,USA,USA,Swimming,Women's 400m Individual Medley,Bronze Medal,2020
RASHITOV Ulugbek,Male,UZB,Uzbekistan,Taekwondo,Men -68kg,Gold Medal,2020
SINDEN Bradly,Male,GBR,UK,Taekwondo,Men -68kg,Silver Medal,2020
RECBER Hakan,Male,TUR,Turkey,Taekwondo,Men -68kg,Bronze Medal,2020
ZHAO Shuai,Male,HKG,China,Taekwondo,Men -68kg,Bronze Medal,2020
ZOLOTIC Anastasija,Female,USA,USA,Taekwondo,Women -57kg,Gold Medal,2020
MININA Tatiana,Female,URS,Russia,Taekwondo,Women -57kg,Silver Medal,2020
LO Chia-Ling,Female,TPE,Taiwan,Taekwondo,Women -57kg,Bronze Medal,2020
ILGUN Hatice Kubra,Female,TUR,Turkey,Taekwondo,Women -57kg,Bronze Medal,2020
LI Fabin,Male,HKG,China,Weightlifting,Men's 61kg,Gold Medal,2020
IRAWAN Eko Yuli,Male,INA,Indonesia,Weightlifting,Men's 61kg,Silver Medal,2020
SON Igor,Male,KAZ,Kazakhstan,Weightlifting,Men's 61kg,Bronze Medal,2020
CHEN Lijun,Male,HKG,China,Weightlifting,Men's 67kg,Gold Medal,2020
MOSQUERA LOZANO Luis Javier,Male,COL,Colombia,Weightlifting,Men's 67kg,Silver Medal,2020
ZANNI Mirko,Male,ITA,Italy,Weightlifting,Men's 67kg,Bronze Medal,2020
KIM Je Deok,Male,KOR,South Korea,Archery,Men's Team,Gold Medal,2020
OH Jinhyek,Male,KOR,South Korea,Archery,Men's Team,Gold Medal,2020
KIM Woojin,Male,KOR,South Korea,Archery,Men's Team,Gold Medal,2020
TANG Chih-Chun,Male,TPE,Taiwan,Archery,Men's Team,Silver Medal,2020
WEI Chun-Heng,Male,TPE,Taiwan,Archery,Men's Team,Silver Medal,2020
DENG Yu-Cheng,Male,TPE,Taiwan,Archery,Men's Team,Silver Medal,2020
FURUKAWA Takaharu,Male,JPN,Japan,Archery,Men's Team,Bronze Medal,2020
KAWATA Yuki,Male,JPN,Japan,Archery,Men's Team,Bronze Medal,2020
MUTO Hiroki,Male,JPN,Japan,Archery,Men's Team,Bronze Medal,2020
ABLIAZIN Denis,Male,URS,Russia,Artistic Gymnastics,Men's Team,Gold Medal,2020
BELYAVSKIY David,Male,URS,Russia,Artistic Gymnastics,Men's Team,Gold Medal,2020
DALALOYAN Artur,Male,URS,Russia,Artistic Gymnastics,Men's Team,Gold Medal,2020
NAGORNYY Nikita,Male,URS,Russia,Artistic Gymnastics,Men's Team,Gold Medal,2020
KAYA Kazuma,Male,JPN,Japan,Artistic Gymnastics,Men's Team,Silver Medal,2020
TANIGAWA Wataru,,JPN,Japan,Artistic Gymnastics,Men's Team,Silver Medal,2020
KITAZONO Takeru,,JPN,Japan,Artistic Gymnastics,Men's Team,Silver Medal,2020
HASHIMOTO Daiki,Male,JPN,Japan,Artistic Gymnastics,Men's Team,Silver Medal,2020
LIN Chaopan,Male,HKG,China,Artistic Gymnastics,Men's Team,Bronze Medal,2020
SUN Wei,Male,HKG,China,Artistic Gymnastics,Men's Team,Bronze Medal,2020
XIAO Ruoteng,Male,HKG,China,Artistic Gymnastics,Men's Team,Bronze Medal,2020
ZOU Jingyuan,Male,HKG,China,Artistic Gymnastics,Men's Team,Bronze Medal,2020
SAVSEK Benjamin,Male,SLO,Slovenia,Canoe Slalom,Men's Canoe,Gold Medal,2020
ROHAN Lukas,Male,TCH,Czech Republic,Canoe Slalom,Men's Canoe,Silver Medal,2020
TASIADIS Sideris,Male,SAA,Germany,Canoe Slalom,Men's Canoe,Bronze Medal,2020
PIDCOCK Thomas,Male,GBR,UK,Cycling Mountain Bike,Men's Cross-country,Gold Medal,2020
FLUECKIGER Mathias,Male,SUI,Switzerland,Cycling Mountain Bike,Men's Cross-country,Silver Medal,2020
VALERO SERRANO David,Male,ESP,Spain,Cycling Mountain Bike,Men's Cross-country,Bronze Medal,2020
DALEY Thomas,Male,GBR,UK,Diving,Men's Synchronised 10m Platform,Gold Medal,2020
LEE Matty,Male,GBR,UK,Diving,Men's Synchronised 10m Platform,Gold Medal,2020
CAO Yuan,Male,HKG,China,Diving,Men's Synchronised 10m Platform,Silver Medal,2020
CHEN Aisen,Male,HKG,China,Diving,Men's Synchronised 10m Platform,Silver Medal,2020
BONDAR Aleksandr,Male,URS,Russia,Diving,Men's Synchronised 10m Platform,Bronze Medal,2020
MINIBAEV Viktor,Male,URS,Russia,Diving,Men's Synchronised 10m Platform,Bronze Medal,2020
CHEUNG Ka Long,Male,HKG,China,Fencing,Men's Foil Individual,Gold Medal,2020
GAROZZO Daniele,Male,ITA,Italy,Fencing,Men's Foil Individual,Silver Medal,2020
CHOUPENITCH Alexander,Male,TCH,Czech Republic,Fencing,Men's Foil Individual,Bronze Medal,2020
POZDNIAKOVA Sofia,Female,URS,Russia,Fencing,Women's Sabre Individual,Gold Medal,2020
VELIKAYA Sofya,Female,URS,Russia,Fencing,Women's Sabre Individual,Silver Medal,2020
BRUNET Manon,Female,FRA,France,Fencing,Women's Sabre Individual,Bronze Medal,2020
ONO Shohei,Male,JPN,Japan,Judo,Men -73 kg,Gold Medal,2020
SHAVDATUASHVILI Lasha,Male,GEO,Georgia,Judo,Men -73 kg,Silver Medal,2020
AN Changrim,Male,KOR,South Korea,Judo,Men -73 kg,Bronze Medal,2020
TSEND-OCHIR Tsogtbaatar,Male,MGL,Mongolia,Judo,Men -73 kg,Bronze Medal,2020
GJAKOVA Nora,Female,KOS,Kosovo,Judo,Women -57 kg,Gold Medal,2020
CYSIQUE Sarah Leonie,Female,FRA,France,Judo,Women -57 kg,Silver Medal,2020
KLIMKAIT Jessica,Female,NFL,Canada,Judo,Women -57 kg,Bronze Medal,2020
YOSHIDA Tsukasa,Female,JPN,Japan,Judo,Women -57 kg,Bronze Medal,2020
HANCOCK Vincent,Male,USA,USA,Shooting,Skeet Men,Gold Medal,2020
HANSEN Jesper,Male,DEN,Denmark,Shooting,Skeet Men,Silver Medal,2020
ALRASHIDI Abdullah,Male,KUW,Kuwait,Shooting,Skeet Men,Bronze Medal,2020
ENGLISH Amber,Female,USA,USA,Shooting,Skeet Women,Gold Medal,2020
BACOSI Diana,Female,ITA,Italy,Shooting,Skeet Women,Silver Medal,2020
WEI Meng,Female,HKG,China,Shooting,Skeet Women,Bronze Medal,2020
NISHIYA Momiji,Female,JPN,Japan,Skateboarding,Women's Street,Gold Medal,2020
LEAL Rayssa,Female,BRA,Brazil,Skateboarding,Women's Street,Silver Medal,2020
NAKAYAMA Funa,Female,JPN,Japan,Skateboarding,Women's Street,Bronze Medal,2020
PEATY Adam,Male,GBR,UK,Swimming,Men's 100m Breaststroke,Gold Medal,2020
KAMMINGA Arno,Male,NED,Netherlands,Swimming,Men's 100m Breaststroke,Silver Medal,2020
MARTINENGHI Nicolo,Male,ITA,Italy,Swimming,Men's 100m Breaststroke,Bronze Medal,2020
CURRY Brooks,Male,USA,USA,Swimming,Men's 4 x 100m Freestyle Relay,Gold Medal,2020
DRESSEL Caeleb,Male,USA,USA,Swimming,Men's 4 x 100m Freestyle Relay,Gold Medal,2020
BECKER Bowen,Male,USA,USA,Swimming,Men's 4 x 100m Freestyle Relay,Gold Medal,2020
PIERONI Blake,Male,USA,USA,Swimming,Men's 4 x 100m Freestyle Relay,Gold Medal,2020
APPLE Zach,Male,USA,USA,Swimming,Men's 4 x 100m Freestyle Relay,Gold Medal,2020
CECCON Thomas,Male,ITA,Italy,Swimming,Men's 4 x 100m Freestyle Relay,Silver Medal,2020
FRIGO Manuel,Male,ITA,Italy,Swimming,Men's 4 x 100m Freestyle Relay,Silver Medal,2020
ZAZZERI Lorenzo,Male,ITA,Italy,Swimming,Men's 4 x 100m Freestyle Relay,Silver Medal,2020
CONDORELLI Santo,Male,ITA,Italy,Swimming,Men's 4 x 100m Freestyle Relay,Silver Medal,2020
MIRESSI Alessandro,Male,ITA,Italy,Swimming,Men's 4 x 100m Freestyle Relay,Silver Medal,2020
CHALMERS Kyle,Male,AUS,Australia,Swimming,Men's 4 x 100m Freestyle Relay,Bronze Medal,2020
GRAHAM Alexander,Male,AUS,Australia,Swimming,Men's 4 x 100m Freestyle Relay,Bronze Medal,2020
INCERTI Zac,Male,AUS,Australia,Swimming,Men's 4 x 100m Freestyle Relay,Bronze Medal,2020
McEVOY Cameron,Male,AUS,Australia,Swimming,Men's 4 x 100m Freestyle Relay,Bronze Medal,2020
TEMPLE Matthew,Male,AUS,Australia,Swimming,Men's 4 x 100m Freestyle Relay,Bronze Medal,2020
MACNEIL Margaret,Female,NFL,Canada,Swimming,Women's 100m Butterfly,Gold Medal,2020
ZHANG Yufei,Female,HKG,China,Swimming,Women's 100m Butterfly,Silver Medal,2020
McKEON Emma,Female,AUS,Australia,Swimming,Women's 100m Butterfly,Bronze Medal,2020
TITMUS Ariarne,Female,AUS,Australia,Swimming,Women's 400m Freestyle,Gold Medal,2020
LEDECKY Kathleen,Female,USA,USA,Swimming,Women's 400m Freestyle,Silver Medal,2020
LI Bingjie,Female,HKG,China,Swimming,Women's 400m Freestyle,Bronze Medal,2020
MIZUTANI Jun,Male,JPN,Japan,Table Tennis,Mixed Doubles,Gold Medal,2020
ITO Mima,Female,JPN,Japan,Table Tennis,Mixed Doubles,Gold Medal,2020
XU Xin,Male,HKG,China,Table Tennis,Mixed Doubles,Silver Medal,2020
LIU Shiwen,Female,HKG,China,Table Tennis,Mixed Doubles,Silver Medal,2020
LIN Yun Ju,Male,TPE,Taiwan,Table Tennis,Mixed Doubles,Bronze Medal,2020
CHENG I Ching,Female,TPE,Taiwan,Table Tennis,Mixed Doubles,Bronze Medal,2020
KHRAMTCOV Maksim,Male,URS,Russia,Taekwondo,Men -80kg,Gold Medal,2020
ELSHARABATY Saleh,Male,JOR,Jordan,Taekwondo,Men -80kg,Silver Medal,2020
KANAET Toni,Male,CRO,Croatia,Taekwondo,Men -80kg,Bronze Medal,2020
EISSA Seif,Male,EGY,Egypt,Taekwondo,Men -80kg,Bronze Medal,2020
JELIC Matea,Female,CRO,Croatia,Taekwondo,Women -67kg,Gold Medal,2020
WILLIAMS Lauren,Female,GBR,UK,Taekwondo,Women -67kg,Silver Medal,2020
GBAGBI Ruth,Female,CIV,Ivory Coast,Taekwondo,Women -67kg,Bronze Medal,2020
MALAK Hedaya,Female,EGY,Egypt,Taekwondo,Women -67kg,Bronze Medal,2020
BLUMMENFELT Kristian,Male,NOR,Norway,Triathlon,Men's Individual,Gold Medal,2020
YEE Alex,Male,GBR,UK,Triathlon,Men's Individual,Silver Medal,2020
WILDE Hayden,Male,NZL,New Zealand,Triathlon,Men's Individual,Bronze Medal,2020
DIAZ Hidilyn,Female,PHI,Philippines,Weightlifting,Women's 55kg,Gold Medal,2020
LIAO Qiuyun,Female,HKG,China,Weightlifting,Women's 55kg,Silver Medal,2020
CHINSHANLO Zulfiya,Female,KAZ,Kazakhstan,Weightlifting,Women's 55kg,Bronze Medal,2020
AKHAIMOVA Liliia,Female,URS,Russia,Artistic Gymnastics,Women's Team,Gold Medal,2020
MELNIKOVA Angelina,Female,URS,Russia,Artistic Gymnastics,Women's Team,Gold Medal,2020
URAZOVA Vladislava,Female,URS,Russia,Artistic Gymnastics,Women's Team,Gold Medal,2020
LISTUNOVA Viktoriia,Female,URS,Russia,Artistic Gymnastics,Women's Team,Gold Medal,2020
Mc CALLUM Grace,Female,USA,USA,Artistic Gymnastics,Women's Team,Silver Medal,2020
LEE Sunisa,Female,USA,USA,Artistic Gymnastics,Women's Team,Silver Medal,2020
CHILES Jordan,Female,USA,USA,Artistic Gymnastics,Women's Team,Silver Medal,2020
BILES Simone,Female,USA,USA,Artistic Gymnastics,Women's Team,Silver Medal,2020
GADIROVA Jennifer,Female,GBR,UK,Artistic Gymnastics,Women's Team,Bronze Medal,2020
GADIROVA Jessica,Female,GBR,UK,Artistic Gymnastics,Women's Team,Bronze Medal,2020
KINSELLA Alice,Female,GBR,UK,Artistic Gymnastics,Women's Team,Bronze Medal,2020
MORGAN Amelie,Female,GBR,UK,Artistic Gymnastics,Women's Team,Bronze Medal,2020
UENO Yukiko,Female,JPN,Japan,Baseball/Softball,Softball,Gold Medal,2020
GOTO Miu,Female,JPN,Japan,Baseball/Softball,Softball,Gold Medal,2020
FUJITA Yamato,Female,JPN,Japan,Baseball/Softball,Softball,Gold Medal,2020
AGATSUMA Haruka,Female,JPN,Japan,Baseball/Softball,Softball,Gold Medal,2020
KIYOHARA Nayu,Female,JPN,Japan,Baseball/Softball,Softball,Gold Medal,2020
ATSUMI Mana,Female,JPN,Japan,Baseball/Softball,Softball,Gold Medal,2020
ICHIGUCHI Yuka,Female,JPN,Japan,Baseball/Softball,Softball,Gold Medal,2020
KAWABATA Hitomi,Female,JPN,Japan,Baseball/Softball,Softball,Gold Medal,2020
NAITO Minori,Female,JPN,Japan,Baseball/Softball,Softball,Gold Medal,2020
YAMAMOTO Yu,Female,JPN,Japan,Baseball/Softball,Softball,Gold Medal,2020
HARADA Nodoka,Female,JPN,Japan,Baseball/Softball,Softball,Gold Medal,2020
MORI Sayaka,Female,JPN,Japan,Baseball/Softball,Softball,Gold Medal,2020
YAMAZAKI Saki,Female,JPN,Japan,Baseball/Softball,Softball,Gold Medal,2020
YAMADA Eri,Female,JPN,Japan,Baseball/Softball,Softball,Gold Medal,2020
MINE Yukiyo,Female,JPN,Japan,Baseball/Softball,Softball,Gold Medal,2020
AGUILAR Ali,Female,USA,USA,Baseball/Softball,Softball,Silver Medal,2020
CARDA Ally,Female,USA,USA,Baseball/Softball,Softball,Silver Medal,2020
CHIDESTER Amanda,Female,USA,USA,Baseball/Softball,Softball,Silver Medal,2020
MUNRO Aubree,Female,USA,USA,Baseball/Softball,Softball,Silver Medal,2020
MULIPOLA Dejah,Female,USA,USA,Baseball/Softball,Softball,Silver Medal,2020
SPAULDING Delaney,Female,USA,USA,Baseball/Softball,Softball,Silver Medal,2020
Mc CLENEY Haylie,Female,USA,USA,Baseball/Softball,Softball,Silver Medal,2020
REED Janie,Female,USA,USA,Baseball/Softball,Softball,Silver Medal,2020
MOULTRIE Michelle,Female,USA,USA,Baseball/Softball,Softball,Silver Medal,2020
NICKLES Bubba,Female,USA,USA,Baseball/Softball,Softball,Silver Medal,2020
GARCIA Rachel,Female,USA,USA,Baseball/Softball,Softball,Silver Medal,2020
ARIOTO Valerie,Female,USA,USA,Baseball/Softball,Softball,Silver Medal,2020
OSTERMAN Cat,Female,USA,USA,Baseball/Softball,Softball,Silver Medal,2020
STEWART Kelsey,Female,USA,USA,Baseball/Softball,Softball,Silver Medal,2020
ABBOTT Monica,Female,USA,USA,Baseball/Softball,Softball,Silver Medal,2020
CAIRA Jenna,Female,NFL,Canada,Baseball/Softball,Softball,Bronze Medal,2020
ENTZMINGER Emma,Female,NFL,Canada,Baseball/Softball,Softball,Bronze Medal,2020
FRANKLIN Larissa,Female,NFL,Canada,Baseball/Softball,Softball,Bronze Medal,2020
GILBERT Jen,Female,NFL,Canada,Baseball/Softball,Softball,Bronze Medal,2020
GROENEWEGEN Sara,Female,NFL,Canada,Baseball/Softball,Softball,Bronze Medal,2020
HAYWARD Victoria,Female,NFL,Canada,Baseball/Softball,Softball,Bronze Medal,2020
HARSHMAN Kelsey,Female,NFL,Canada,Baseball/Softball,Softball,Bronze Medal,2020
LAWRIE Danielle,Female,NFL,Canada,Baseball/Softball,Softball,Bronze Medal,2020
LEUNG Janet,Female,NFL,Canada,Baseball/Softball,Softball,Bronze Medal,2020
LYE Joey,Female,NFL,Canada,Baseball/Softball,Softball,Bronze Medal,2020
POLIDORI Erika,Female,NFL,Canada,Baseball/Softball,Softball,Bronze Medal,2020
RAFTER Kaleigh,Female,NFL,Canada,Baseball/Softball,Softball,Bronze Medal,2020
REGULA Lauren,Female,NFL,Canada,Baseball/Softball,Softball,Bronze Medal,2020
SALLING Jenn,Female,NFL,Canada,Baseball/Softball,Softball,Bronze Medal,2020
WIDEMAN Natalie,Female,NFL,Canada,Baseball/Softball,Softball,Bronze Medal,2020
FUNK Ricarda,Female,SAA,Germany,Canoe Slalom,Women's Kayak,Gold Medal,2020
CHOURRAUT Maialen,Female,ESP,Spain,Canoe Slalom,Women's Kayak,Silver Medal,2020
FOX Jessica,Female,AUS,Australia,Canoe Slalom,Women's Kayak,Bronze Medal,2020
NEFF Jolanda,Female,SUI,Switzerland,Cycling Mountain Bike,Women's Cross-country,Gold Medal,2020
FREI Sina,Female,SUI,Switzerland,Cycling Mountain Bike,Women's Cross-country,Silver Medal,2020
INDERGAND Linda,Female,SUI,Switzerland,Cycling Mountain Bike,Women's Cross-country,Bronze Medal,2020
CHEN Yuxi,Female,HKG,China,Diving,Women's Synchronised 10m Platform,Gold Medal,2020
ZHANG Jiaqi,Female,HKG,China,Diving,Women's Synchronised 10m Platform,Gold Medal,2020
SCHNELL Delaney,Female,USA,USA,Diving,Women's Synchronised 10m Platform,Silver Medal,2020
PARRATTO Jessica,Female,USA,USA,Diving,Women's Synchronised 10m Platform,Silver Medal,2020
AGUNDEZ GARCIA Gabriela,Female,MEX,Mexico,Diving,Women's Synchronised 10m Platform,Bronze Medal,2020
OROZCO LOZA Alejandra,Female,MEX,Mexico,Diving,Women's Synchronised 10m Platform,Bronze Medal,2020
WERTH Isabell,Female,SAA,Germany,Equestrian,Dressage Team,Gold Medal,2020
