Name,Sex,NOC,Country,Sport,Event,Medal,Year
LEE Joonhwan,Male,KOR,Korea,Judo,Men -81 kg,Bronze Medal,2024
MAKHMADBEKOV Somon,Male,TJK,Tajikistan,Judo,Men -81 kg,Bronze Medal,2024
LESKI Andreja,Female,SLO,Slovenia,Judo,Women -63 kg,Gold Medal,2024
AWITI ALCARAZ Prisca,Female,MEX,Mexico,Judo,Women -63 kg,Silver Medal,2024
AGBEGNENOU Clarisse,Female,FRA,France,Judo,Women -63 kg,Bronze Medal,2024
FAZLIU Laura,Female,KOS,Kosovo,Judo,Women -63 kg,Bronze Medal,2024
HALES Nathan,Male,GBR,Great Britain,Shooting,Trap Men,Gold Medal,2024
QI Ying,Male,CHN,China,Shooting,Trap Men,Silver Medal,2024
BROL CARDENAS Jean Pierre,Male,GUA,Guatemala,Shooting,Trap Men,Bronze Medal,2024
WIFFEN Daniel,Male,IRL,Ireland,Swimming,Men's 800m Freestyle,Gold Medal,2024
FINKE Bobby,Male,USA,United States,Swimming,Men's 800m Freestyle,Silver Medal,2024
PALTRINIERI Gregorio,Male,ITA,Italy,Swimming,Men's 800m Freestyle,Bronze Medal,2024
McKEOWN Kaylee,Female,AUS,Australia,Swimming,Women's 100m Backstroke,Gold Medal,2024
SMITH Regan,Female,USA,United States,Swimming,Women's 100m Backstroke,Silver Medal,2024
BERKOFF Katharine,Female,USA,United States,Swimming,Women's 100m Backstroke,Bronze Medal,2024
OKA Shinnosuke,Male,JPN,Japan,Artistic Gymnastics,Men's All-Around,Gold Medal,2024
ZHANG Boheng,Male,CHN,China,Artistic Gymnastics,Men's All-Around,Silver Medal,2024
XIAO Ruoteng,Male,CHN,China,Artistic Gymnastics,Men's All-Around,Bronze Medal,2024
FOX Jessica,Female,AUS,Australia,Canoe Slalom,Women's Canoe Single,Gold Medal,2024
LILIK Elena,Female,GER,Germany,Canoe Slalom,Women's Canoe Single,Silver Medal,2024
LEIBFARTH Evy,Female,USA,United States,Canoe Slalom,Women's Canoe Single,Bronze Medal,2024
TORRES GIL Jose,Male,ARG,Argentina,Cycling BMX Freestyle,Men's Park,Gold Medal,2024
REILLY Kieran Darren David,Male,GBR,Great Britain,Cycling BMX Freestyle,Men's Park,Silver Medal,2024
JEANJEAN Anthony,Male,FRA,France,Cycling BMX Freestyle,Men's Park,Bronze Medal,2024
DENG Yawen,Female,CHN,China,Cycling BMX Freestyle,Women's Park,Gold Medal,2024
BENEGAS Perris,Female,USA,United States,Cycling BMX Freestyle,Women's Park,Silver Medal,2024
DIEHM Natalya,Female,AUS,Australia,Cycling BMX Freestyle,Women's Park,Bronze Medal,2024
BEKAURI Lasha,Male,GEO,Georgia,Judo,Men -90 kg,Gold Medal,2024
MURAO Sanshiro,Male,JPN,Japan,Judo,Men -90 kg,Silver Medal,2024
NGAYAP HAMBOU Maxime-Gael,Male,FRA,France,Judo,Men -90 kg,Bronze Medal,2024
TSELIDIS Theodoros,Male,GRE,Greece,Judo,Men -90 kg,Bronze Medal,2024
MATIC Barbara,Female,CRO,Croatia,Judo,Women -70 kg,Gold Medal,2024
BUTKEREIT Miriam,Female,GER,Germany,Judo,Women -70 kg,Silver Medal,2024
POLLERES Michaela,Female,AUT,Austria,Judo,Women -70 kg,Bronze Medal,2024
WILLEMS Gabriella,Female,BEL,Belgium,Judo,Women -70 kg,Bronze Medal,2024
RUANO OLIVA Adriana,Female,GUA,Guatemala,Shooting,Trap Women,Gold Medal,2024
STANCO Silvana Maria,Female,ITA,Italy,Shooting,Trap Women,Silver Medal,2024
SMITH Penny,Female,AUS,Australia,Shooting,Trap Women,Bronze Medal,2024
PAN Zhanle,Male,CHN,China,Swimming,Men's 100m Freestyle,Gold Medal,2024
CHALMERS Kyle,Male,AUS,Australia,Swimming,Men's 100m Freestyle,Silver Medal,2024
POPOVICI David,Male,ROU,Romania,Swimming,Men's 100m Freestyle,Bronze Medal,2024
MARCHAND Leon,Male,FRA,France,Swimming,Men's 200m Breaststroke,Gold Medal,2024
STUBBLETY-COOK Zac,Male,AUS,Australia,Swimming,Men's 200m Breaststroke,Silver Medal,2024
CORBEAU Caspar,Male,NED,Netherlands,Swimming,Men's 200m Breaststroke,Bronze Medal,2024
MARCHAND Leon,Male,FRA,France,Swimming,Men's 200m Butterfly,Gold Medal,2024
MILAK Kristof,Male,HUN,Hungary,Swimming,Men's 200m Butterfly,Silver Medal,2024
KHARUN Ilya,Male,CAN,Canada,Swimming,Men's 200m Butterfly,Bronze Medal,2024
SJOESTROEM Sarah,Female,SWE,Sweden,Swimming,Women's 100m Freestyle,Gold Medal,2024
HUSKE Torri,Female,USA,United States,Swimming,Women's 100m Freestyle,Silver Medal,2024
HAUGHEY Siobhan Bernadette,Female,HKG,"Hong Kong, China",Swimming,Women's 100m Freestyle,Bronze Medal,2024
LEDECKY Katie,Female,USA,United States,Swimming,Women's 1500m Freestyle,Gold Medal,2024
KIRPICHNIKOVA Anastasiia,Female,FRA,France,Swimming,Women's 1500m Freestyle,Silver Medal,2024
GOSE Isabel,Female,GER,Germany,Swimming,Women's 1500m Freestyle,Bronze Medal,2024
YEE Alex,Male,GBR,Great Britain,Triathlon,Men's Individual,Gold Medal,2024
WILDE Hayden,Male,NZL,New Zealand,Triathlon,Men's Individual,Silver Medal,2024
BERGERE Leo,Male,FRA,France,Triathlon,Men's Individual,Bronze Medal,2024
BEAUGRAND Cassandre,Female,FRA,France,Triathlon,Women's Individual,Gold Medal,2024
DERRON Julie,Female,SUI,Switzerland,Triathlon,Women's Individual,Silver Medal,2024
POTTER Beth,Female,GBR,Great Britain,Triathlon,Women's Individual,Bronze Medal,2024
BILES Simone,Female,USA,United States,Artistic Gymnastics,Women's All-Around,Gold Medal,2024
ANDRADE Rebeca,Female,BRA,Brazil,Artistic Gymnastics,Women's All-Around,Silver Medal,2024
LEE Sunisa,Female,USA,United States,Artistic Gymnastics,Women's All-Around,Bronze Medal,2024
PINTADO Brian Daniel,Male,ECU,Ecuador,Athletics,Men's 20km Race Walk,Gold Medal,2024
BONFIM Caio,Male,BRA,Brazil,Athletics,Men's 20km Race Walk,Silver Medal,2024
MARTIN Alvaro,Male,ESP,Spain,Athletics,Men's 20km Race Walk,Bronze Medal,2024
YANG Jiayu,Female,CHN,China,Athletics,Women's 20km Race Walk,Gold Medal,2024
PEREZ Maria,Female,ESP,Spain,Athletics,Women's 20km Race Walk,Silver Medal,2024
MONTAG Jemima,Female,AUS,Australia,Athletics,Women's 20km Race Walk,Bronze Medal,2024
de GENNARO Giovanni,Male,ITA,Italy,Canoe Slalom,Men's Kayak Single,Gold Medal,2024
CASTRYCK Titouan,Male,FRA,France,Canoe Slalom,Men's Kayak Single,Silver Medal,2024
ECHANIZ Pau,Male,ESP,Spain,Canoe Slalom,Men's Kayak Single,Bronze Medal,2024
KOTSOIEV Zelym,Male,AZE,Azerbaijan,Judo,Men -100 kg,Gold Medal,2024
SULAMANIDZE Ilia,Male,GEO,Georgia,Judo,Men -100 kg,Silver Medal,2024
PALTCHIK Peter,Male,ISR,Israel,Judo,Men -100 kg,Bronze Medal,2024
TUROBOYEV Muzaffarbek,Male,UZB,Uzbekistan,Judo,Men -100 kg,Bronze Medal,2024
BELLANDI Alice,Female,ITA,Italy,Judo,Women -78 kg,Gold Medal,2024
LANIR Inbar,Female,ISR,Israel,Judo,Women -78 kg,Silver Medal,2024
MA Zhenzhao,Female,CHN,China,Judo,Women -78 kg,Bronze Medal,2024
SAMPAIO Patricia,Female,POR,Portugal,Judo,Women -78 kg,Bronze Medal,2024
LIU Yukun,Male,CHN,China,Shooting,50m Rifle 3 Positions Men,Gold Medal,2024
KULISH Serhiy,Male,UKR,Ukraine,Shooting,50m Rifle 3 Positions Men,Silver Medal,2024
KUSALE Swapnil,Male,IND,India,Shooting,50m Rifle 3 Positions Men,Bronze Medal,2024
KOS Hubert,Male,HUN,Hungary,Swimming,Men's 200m Backstroke,Gold Medal,2024
CHRISTOU Apostolos,Male,GRE,Greece,Swimming,Men's 200m Backstroke,Silver Medal,2024
MITYUKOV Roman,Male,SUI,Switzerland,Swimming,Men's 200m Backstroke,Bronze Medal,2024
DOUGLASS Kate,Female,USA,United States,Swimming,Women's 200m Breaststroke,Gold Medal,2024
SMITH Tatjana,Female,RSA,South Africa,Swimming,Women's 200m Breaststroke,Silver Medal,2024
SCHOUTEN Tes,Female,NED,Netherlands,Swimming,Women's 200m Breaststroke,Bronze Medal,2024
McINTOSH Summer,Female,CAN,Canada,Swimming,Women's 200m Butterfly,Gold Medal,2024
SMITH Regan,Female,USA,United States,Swimming,Women's 200m Butterfly,Silver Medal,2024
ZHANG Yufei,Female,CHN,China,Swimming,Women's 200m Butterfly,Bronze Medal,2024
CHEPTEGEI Joshua,Male,UGA,Uganda,Athletics,"Men's 10,000m",Gold Medal,2024
AREGAWI Berihu,Male,ETH,Ethiopia,Athletics,"Men's 10,000m",Silver Medal,2024
FISHER Grant,Male,USA,United States,Athletics,"Men's 10,000m",Bronze Medal,2024
DAUDET Joris,Male,FRA,France,Cycling BMX Racing,Men,Gold Medal,2024
ANDRE Sylvain,Male,FRA,France,Cycling BMX Racing,Men,Silver Medal,2024
MAHIEU Romain,Male,FRA,France,Cycling BMX Racing,Men,Bronze Medal,2024
SAKAKIBARA Saya,Female,AUS,Australia,Cycling BMX Racing,Women,Gold Medal,2024
VEENSTRA Manon,Female,NED,Netherlands,Cycling BMX Racing,Women,Silver Medal,2024
